source_file,source_sheet,row_index,raw_description,normalized_description,manufacturer,mpn,qty,family,subfamily,extracted_features,identification_confidence,identification_status,matched_reference,selected_method,status,lambda_value,unit_lambda_value,fit,mtbf,assumptions,comment,ref_designator,assumptions_json,extracted_features_json
Свод BOM по 109 (1) (1) (1).xlsx,IB_2CAN_E1N003INF1,0,CRYSTAL 12.0000MHZ 8PF SMD,crystal 12.0000mhz 8pf smd,Abracon Corporation,ABM8W-12.0000MHZ-8-D1X-T3,1,crystal,quartz_crystal,"{'source_text': 'crystal 12.0000mhz 8pf smd', 'capacitance_f': 8e-12, 'frequency_hz': 12000000.0, 'package': 'SMD', 'is_ceramic': False, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': True, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}",0.96,calculated,,part_stress,calculated,1.152e-08,1.152e-08,11.52,86805555.55555555,"{'base_fit_per_part': 8.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None}",simplified part stress method,BQ1,"{'base_fit_per_part': 8.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None}","{'source_text': 'crystal 12.0000mhz 8pf smd', 'capacitance_f': 8e-12, 'frequency_hz': 12000000.0, 'package': 'SMD', 'is_ceramic': False, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': True, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}"
Свод BOM по 109 (1) (1) (1).xlsx,IB_2CAN_E1N003INF1,1,CAP CER 0603 16V 10uF X6S +/-20%,cap cer 0603 16v 10uf x6s +/-20%,Samsung,CL10X106MO8NRN,14,capacitor,ceramic_capacitor,"{'source_text': 'cap cer 0603 16v 10uf x6s +/-20%', 'capacitance_f': 9.999999999999999e-06, 'rated_voltage_v': 16.0, 'tolerance_pct': 20.0, 'package': '0603', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}",0.95,calculated,,part_stress,calculated,6.047999999999998e-08,4.319999999999999e-09,60.47999999999998,16534391.53439154,"{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}",simplified part stress method,"C1,C3,C15,C21,C25,C29,C31,C32,C33,C39,C41,C42,C43,C46","{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}","{'source_text': 'cap cer 0603 16v 10uf x6s +/-20%', 'capacitance_f': 9.999999999999999e-06, 'rated_voltage_v': 16.0, 'tolerance_pct': 20.0, 'package': '0603', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}"
Свод BOM по 109 (1) (1) (1).xlsx,IB_2CAN_E1N003INF1,2,"CAP CERAMIC, 0402, 0.1uF, 50V, X7R, +/-10%",cap ceramic 0402 0.1uf 50v x7r +/-10%,Samsung,CL05B104KB54PNC,20,capacitor,ceramic_capacitor,"{'source_text': 'cap ceramic 0402 0.1uf 50v x7r +/-10%', 'capacitance_f': 1e-07, 'rated_voltage_v': 50.0, 'tolerance_pct': 10.0, 'package': '0402', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}",0.95,calculated,,part_stress,calculated,8.639999999999998e-08,4.319999999999999e-09,86.39999999999998,11574074.074074076,"{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}",simplified part stress method,"C2,C4,C6,C7,C8,C9,C10,C11,C14,C18,C19,C20,C22,C23,C26,C27,C34,C36,C37,C44","{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}","{'source_text': 'cap ceramic 0402 0.1uf 50v x7r +/-10%', 'capacitance_f': 1e-07, 'rated_voltage_v': 50.0, 'tolerance_pct': 10.0, 'package': '0402', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}"
Свод BOM по 109 (1) (1) (1).xlsx,IB_2CAN_E1N003INF1,3,CAP CER 0805 16 V 22 uF X6S В±20%,cap cer 0805 16 v 22 uf x6s в+/-20%,Samsung,CL21X226MOYNNWE,1,capacitor,ceramic_capacitor,"{'source_text': 'cap cer 0805 16 v 22 uf x6s в+/-20%', 'capacitance_f': 2.2e-05, 'rated_voltage_v': 16.0, 'tolerance_pct': 20.0, 'package': '0805', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}",0.95,calculated,,part_stress,calculated,4.319999999999999e-09,4.319999999999999e-09,4.319999999999999,231481481.48148152,"{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}",simplified part stress method,C5,"{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}","{'source_text': 'cap cer 0805 16 v 22 uf x6s в+/-20%', 'capacitance_f': 2.2e-05, 'rated_voltage_v': 16.0, 'tolerance_pct': 20.0, 'package': '0805', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}"
Свод BOM по 109 (1) (1) (1).xlsx,IB_2CAN_E1N003INF1,4,CAP CER 0402 16V 2.2uF X6S +/-10%,cap cer 0402 16v 2.2uf x6s +/-10%,TDK,C1005X6S1C225K050BC,3,capacitor,ceramic_capacitor,"{'source_text': 'cap cer 0402 16v 2.2uf x6s +/-10%', 'capacitance_f': 2.2e-06, 'rated_voltage_v': 16.0, 'tolerance_pct': 10.0, 'package': '0402', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}",0.95,calculated,,part_stress,calculated,1.2959999999999998e-08,4.319999999999999e-09,12.959999999999999,77160493.8271605,"{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}",simplified part stress method,"C12,C30,C40","{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}","{'source_text': 'cap cer 0402 16v 2.2uf x6s +/-10%', 'capacitance_f': 2.2e-06, 'rated_voltage_v': 16.0, 'tolerance_pct': 10.0, 'package': '0402', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}"
Свод BOM по 109 (1) (1) (1).xlsx,IB_2CAN_E1N003INF1,5,"CAP CERAMIC, 0402, 0.01uF, 50V, X7R, +/-10%",cap ceramic 0402 0.01uf 50v x7r +/-10%,Samsung,CL05B103KB5NNNC,1,capacitor,ceramic_capacitor,"{'source_text': 'cap ceramic 0402 0.01uf 50v x7r +/-10%', 'capacitance_f': 1e-08, 'rated_voltage_v': 50.0, 'tolerance_pct': 10.0, 'package': '0402', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}",0.95,calculated,,part_stress,calculated,4.319999999999999e-09,4.319999999999999e-09,4.319999999999999,231481481.48148152,"{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}",simplified part stress method,C13,"{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}","{'source_text': 'cap ceramic 0402 0.01uf 50v x7r +/-10%', 'capacitance_f': 1e-08, 'rated_voltage_v': 50.0, 'tolerance_pct': 10.0, 'package': '0402', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}"
Свод BOM по 109 (1) (1) (1).xlsx,IB_2CAN_E1N003INF1,6,"CAP CER, 0402, 10pF, 50V, C0G, +/-5%",cap cer 0402 10pf 50v c0g +/-5%,Samsung,CL05C100JB5NNNC,2,capacitor,ceramic_capacitor,"{'source_text': 'cap cer 0402 10pf 50v c0g +/-5%', 'capacitance_f': 1e-11, 'rated_voltage_v': 50.0, 'tolerance_pct': 5.0, 'package': '0402', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}",0.95,calculated,,part_stress,calculated,8.639999999999998e-09,4.319999999999999e-09,8.639999999999999,115740740.74074076,"{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}",simplified part stress method,"C16,C17","{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}","{'source_text': 'cap cer 0402 10pf 50v c0g +/-5%', 'capacitance_f': 1e-11, 'rated_voltage_v': 50.0, 'tolerance_pct': 5.0, 'package': '0402', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}"
Свод BOM по 109 (1) (1) (1).xlsx,IB_2CAN_E1N003INF1,7,CAP CER 0603 16 V 10 uF X5R В±10%,cap cer 0603 16 v 10 uf x5r в+/-10%,Samsung,CL10A106KO8NQNC,1,capacitor,ceramic_capacitor,"{'source_text': 'cap cer 0603 16 v 10 uf x5r в+/-10%', 'capacitance_f': 9.999999999999999e-06, 'rated_voltage_v': 16.0, 'tolerance_pct': 10.0, 'package': '0603', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}",0.95,calculated,,part_stress,calculated,4.319999999999999e-09,4.319999999999999e-09,4.319999999999999,231481481.48148152,"{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}",simplified part stress method,C24,"{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}","{'source_text': 'cap cer 0603 16 v 10 uf x5r в+/-10%', 'capacitance_f': 9.999999999999999e-06, 'rated_voltage_v': 16.0, 'tolerance_pct': 10.0, 'package': '0603', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}"
Свод BOM по 109 (1) (1) (1).xlsx,IB_2CAN_E1N003INF1,8,"CAP CER, 0603, 0.1uF, 100V, X7R, +/-10%",cap cer 0603 0.1uf 100v x7r +/-10%,Samsung,CL10B104KC8NNNC,2,capacitor,ceramic_capacitor,"{'source_text': 'cap cer 0603 0.1uf 100v x7r +/-10%', 'capacitance_f': 1e-07, 'rated_voltage_v': 100.0, 'tolerance_pct': 10.0, 'package': '0603', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}",0.95,calculated,,part_stress,calculated,8.639999999999998e-09,4.319999999999999e-09,8.639999999999999,115740740.74074076,"{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}",simplified part stress method,"C28,C38","{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}","{'source_text': 'cap cer 0603 0.1uf 100v x7r +/-10%', 'capacitance_f': 1e-07, 'rated_voltage_v': 100.0, 'tolerance_pct': 10.0, 'package': '0603', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}"
Свод BOM по 109 (1) (1) (1).xlsx,IB_2CAN_E1N003INF1,9,"CAP CER 1206, 1000pF, В±10%, 2000V, X7R",cap cer 1206 1000pf в+/-10% 2000v x7r,Yageo,CC1206KKX7RDBB102,2,capacitor,ceramic_capacitor,"{'source_text': 'cap cer 1206 1000pf в+/-10% 2000v x7r', 'capacitance_f': 1e-09, 'rated_voltage_v': 2000.0, 'tolerance_pct': 10.0, 'package': '1206', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}",0.95,calculated,,part_stress,calculated,8.639999999999998e-09,4.319999999999999e-09,8.639999999999999,115740740.74074076,"{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}",simplified part stress method,"C35,C45","{'base_fit_per_part': 3.0, 'temp_mult': 1.0, 'extra_mult': 1.0, 'quality': 'commercial', 'environment': 'ground_fixed', 'operating_temp_c': None, 'voltage_ratio': None}","{'source_text': 'cap cer 1206 1000pf в+/-10% 2000v x7r', 'capacitance_f': 1e-09, 'rated_voltage_v': 2000.0, 'tolerance_pct': 10.0, 'package': '1206', 'is_ceramic': True, 'is_electrolytic': False, 'is_ferrite': False, 'is_mica': False, 'is_schottky': False, 'is_mosfet': False, 'is_bjt': False, 'is_zener': False, 'is_tvs': False, 'is_op_amp': False, 'is_microcontroller': False, 'is_memory': False, 'is_connector': False, 'is_crystal': False, 'is_relay': False, 'is_fuse': False, 'is_diode': False, 'is_transceiver': False, 'is_sensor': False, 'is_transformer': False, 'is_logic_ic': False, 'is_power_ic': False}"
